block,first_page,last_page,offset,ff_pct,zero_pct,unique,entropy,dominant,dominant_pct,mixed_ff00_pct,abnormal_pages,erased_pages,zero_pages,reasons
208,13312,13375,27262976,0.3997802734375,0.384521484375,256,7.998535957653764,116,0.43792724609375,0.7843017578125,64,0,0,MANY_ABNORMAL_PAGES
209,13376,13439,27394048,0.412750244140625,0.421142578125,256,7.998694820829376,63,0.440216064453125,0.833892822265625,64,0,0,MANY_ABNORMAL_PAGES
210,13440,13503,27525120,0.411224365234375,0.37841796875,256,7.998506606232656,105,0.433349609375,0.789642333984375,64,0,0,MANY_ABNORMAL_PAGES
211,13504,13567,27656192,0.3692626953125,0.396728515625,256,7.998617189774764,132,0.438690185546875,0.7659912109375,64,0,0,MANY_ABNORMAL_PAGES
212,13568,13631,27787264,0.390625,0.39825439453125,256,7.998411978158174,201,0.44403076171875,0.78887939453125,64,0,0,MANY_ABNORMAL_PAGES
213,13632,13695,27918336,0.39215087890625,0.37078857421875,256,7.998588195104808,57,0.45013427734375,0.762939453125,64,0,0,MANY_ABNORMAL_PAGES
214,13696,13759,28049408,0.38909912109375,0.36468505859375,256,7.998536457626313,193,0.441741943359375,0.7537841796875,64,0,0,MANY_ABNORMAL_PAGES
215,13760,13823,28180480,0.39825439453125,0.388336181640625,256,7.998704048873635,203,0.44403076171875,0.786590576171875,64,0,0,MANY_ABNORMAL_PAGES
216,13824,13887,28311552,0.400543212890625,0.351715087890625,256,7.9988955728226605,125,0.431060791015625,0.75225830078125,64,0,0,MANY_ABNORMAL_PAGES
217,13888,13951,28442624,0.386810302734375,0.4058837890625,256,7.998443408483709,78,0.45166015625,0.792694091796875,64,0,0,MANY_ABNORMAL_PAGES
218,13952,14015,28573696,0.374603271484375,0.385284423828125,256,7.9984150467357855,233,0.43487548828125,0.7598876953125,64,0,0,MANY_ABNORMAL_PAGES
219,14016,14079,28704768,0.394439697265625,0.3814697265625,256,7.998594084406241,59,0.434112548828125,0.775909423828125,64,0,0,MANY_ABNORMAL_PAGES
220,14080,14143,28835840,0.37384033203125,0.380706787109375,256,7.998496542239685,116,0.441741943359375,0.754547119140625,64,0,0,MANY_ABNORMAL_PAGES
221,14144,14207,28966912,0.403594970703125,0.372314453125,256,7.9985943421606365,151,0.435638427734375,0.775909423828125,64,0,0,MANY_ABNORMAL_PAGES
222,14208,14271,29097984,0.4119873046875,0.39520263671875,256,7.998421965124077,143,0.439453125,0.80718994140625,64,0,0,MANY_ABNORMAL_PAGES
223,14272,14335,29229056,0.384521484375,0.395965576171875,256,7.998593651173376,128,0.437164306640625,0.780487060546875,64,0,0,MANY_ABNORMAL_PAGES
224,14336,14399,29360128,0.38909912109375,0.385284423828125,256,7.998559179915543,59,0.443267822265625,0.774383544921875,64,0,0,MANY_ABNORMAL_PAGES
225,14400,14463,29491200,0.397491455078125,0.37689208984375,256,7.998541038541158,229,0.44403076171875,0.774383544921875,64,0,0,MANY_ABNORMAL_PAGES
226,14464,14527,29622272,0.3692626953125,0.41351318359375,256,7.998463981136368,232,0.433349609375,0.78277587890625,64,0,0,MANY_ABNORMAL_PAGES
227,14528,14591,29753344,0.380706787109375,0.360870361328125,256,7.998638033958042,216,0.43487548828125,0.7415771484375,64,0,0,MANY_ABNORMAL_PAGES
228,14592,14655,29884416,0.408172607421875,0.396728515625,256,7.998594335669654,167,0.441741943359375,0.804901123046875,64,0,0,MANY_ABNORMAL_PAGES
229,14656,14719,30015488,0.36773681640625,0.37994384765625,256,7.998520849834937,196,0.438690185546875,0.7476806640625,64,0,0,MANY_ABNORMAL_PAGES
230,14720,14783,30146560,0.405120849609375,0.3997802734375,256,7.998494384521664,89,0.460052490234375,0.804901123046875,64,0,0,MANY_ABNORMAL_PAGES
231,14784,14847,30277632,0.406646728515625,0.408172607421875,256,7.998601353265665,118,0.433349609375,0.8148193359375,64,0,0,MANY_ABNORMAL_PAGES
232,14848,14911,30408704,0.399017333984375,0.3509521484375,256,7.998593599564723,64,0.43792724609375,0.749969482421875,64,0,0,MANY_ABNORMAL_PAGES
233,14912,14975,30539776,0.38299560546875,0.380706787109375,256,7.998482271244611,179,0.441741943359375,0.763702392578125,64,0,0,MANY_ABNORMAL_PAGES
234,14976,15039,30670848,0.400543212890625,0.360107421875,256,7.998492260870116,127,0.4425048828125,0.760650634765625,64,0,0,MANY_ABNORMAL_PAGES
235,15040,15103,30801920,0.426483154296875,0.447845458984375,256,7.99819927273057,0,0.447845458984375,0.87432861328125,64,0,0,MANY_ABNORMAL_PAGES
236,15104,15167,30932992,0.418853759765625,0.420379638671875,256,7.9985459078067045,206,0.440216064453125,0.8392333984375,64,0,0,MANY_ABNORMAL_PAGES
237,15168,15231,31064064,0.399017333984375,0.44708251953125,256,7.998605522061614,0,0.44708251953125,0.846099853515625,64,0,0,MANY_ABNORMAL_PAGES
238,15232,15295,31195136,0.40740966796875,0.4547119140625,256,7.99861767798064,0,0.4547119140625,0.86212158203125,64,0,0,MANY_ABNORMAL_PAGES
239,15296,15359,31326208,0.354766845703125,0.40740966796875,256,7.998375650824623,239,0.44708251953125,0.762176513671875,64,0,0,MANY_ABNORMAL_PAGES
240,15360,15423,31457280,0.38299560546875,0.408935546875,256,7.998717747922016,197,0.453948974609375,0.79193115234375,64,0,0,MANY_ABNORMAL_PAGES
241,15424,15487,31588352,0.3814697265625,0.362396240234375,256,7.998617802697206,185,0.4425048828125,0.743865966796875,64,0,0,MANY_ABNORMAL_PAGES
242,15488,15551,31719424,0.421905517578125,0.385284423828125,256,7.9986656746125,198,0.45013427734375,0.80718994140625,64,0,0,MANY_ABNORMAL_PAGES
243,15552,15615,31850496,0.3753662109375,0.37841796875,256,7.998563168408325,85,0.431060791015625,0.7537841796875,64,0,0,MANY_ABNORMAL_PAGES
244,15616,15679,31981568,0.40130615234375,0.4150390625,256,7.9986821105236015,143,0.439453125,0.81634521484375,64,0,0,MANY_ABNORMAL_PAGES
245,15680,15743,32112640,0.39215087890625,0.366973876953125,256,7.998689030331428,129,0.44097900390625,0.759124755859375,64,0,0,MANY_ABNORMAL_PAGES
246,15744,15807,32243712,0.41351318359375,0.435638427734375,256,7.998664618929449,0,0.435638427734375,0.849151611328125,64,0,0,MANY_ABNORMAL_PAGES
247,15808,15871,32374784,0.3814697265625,0.441741943359375,256,7.99855678450384,109,0.44403076171875,0.823211669921875,64,0,0,MANY_ABNORMAL_PAGES
248,15872,15935,32505856,0.40435791015625,0.460052490234375,256,7.998451172729322,0,0.460052490234375,0.864410400390625,64,0,0,MANY_ABNORMAL_PAGES
249,15936,15999,32636928,0.399017333984375,0.48828125,256,7.998419607477644,0,0.48828125,0.887298583984375,64,0,0,MANY_ABNORMAL_PAGES
250,16000,16063,32768000,0.418853759765625,0.42724609375,256,7.998325915675616,178,0.46844482421875,0.846099853515625,64,0,0,MANY_ABNORMAL_PAGES
251,16064,16127,32899072,0.383758544921875,0.449371337890625,256,7.998526318284265,0,0.449371337890625,0.8331298828125,64,0,0,MANY_ABNORMAL_PAGES
252,16128,16191,33030144,0.382232666015625,0.41046142578125,256,7.998445950252416,175,0.43487548828125,0.792694091796875,64,0,0,MANY_ABNORMAL_PAGES
253,16192,16255,33161216,0.385284423828125,0.41046142578125,256,7.998545997976174,138,0.433349609375,0.795745849609375,64,0,0,MANY_ABNORMAL_PAGES
