block,first_page,last_page,offset,ff,ff_pct,zero,zero_pct,unique,entropy,dominant,dominant_count,dominant_pct,mixed_ff00_pct,all_ff,all_zero,abnormal_pages,erased_pages,zero_pages,abnormal,reasons
47,3008,3071,6160384,500,0.3814697265625,579,0.441741943359375,256,7.99855678450384,109,582,0.44403076171875,0.823211669921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
48,3072,3135,6291456,530,0.40435791015625,603,0.460052490234375,256,7.998451172729322,0,603,0.460052490234375,0.864410400390625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
49,3136,3199,6422528,523,0.399017333984375,640,0.48828125,256,7.998419607477644,0,640,0.48828125,0.887298583984375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
50,3200,3263,6553600,549,0.418853759765625,560,0.42724609375,256,7.998325915675616,178,614,0.46844482421875,0.846099853515625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
51,3264,3327,6684672,503,0.383758544921875,589,0.449371337890625,256,7.998526318284265,0,589,0.449371337890625,0.8331298828125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
52,3328,3391,6815744,501,0.382232666015625,538,0.41046142578125,256,7.998445950252416,175,570,0.43487548828125,0.792694091796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
53,3392,3455,6946816,505,0.385284423828125,538,0.41046142578125,256,7.998545997976174,138,568,0.433349609375,0.795745849609375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
54,3456,3519,7077888,544,0.4150390625,534,0.40740966796875,256,7.998547329690356,137,598,0.45623779296875,0.82244873046875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
55,3520,3583,7208960,491,0.374603271484375,593,0.452423095703125,256,7.99857736751697,0,593,0.452423095703125,0.8270263671875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
56,3584,3647,7340032,518,0.39520263671875,564,0.4302978515625,256,7.998519158990192,138,589,0.449371337890625,0.82550048828125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
57,3648,3711,7471104,497,0.379180908203125,615,0.469207763671875,256,7.998545000391646,0,615,0.469207763671875,0.848388671875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
58,3712,3775,7602176,493,0.376129150390625,579,0.441741943359375,256,7.9984876281096975,108,581,0.443267822265625,0.81787109375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
59,3776,3839,7733248,520,0.396728515625,567,0.432586669921875,256,7.998565713974703,250,587,0.447845458984375,0.829315185546875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
60,3840,3903,7864320,551,0.420379638671875,550,0.41961669921875,256,7.998579502478691,46,576,0.439453125,0.839996337890625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
61,3904,3967,7995392,512,0.390625,555,0.423431396484375,256,7.998626002437127,160,568,0.433349609375,0.814056396484375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
62,3968,4031,8126464,527,0.402069091796875,540,0.4119873046875,256,7.998509837565032,52,574,0.43792724609375,0.814056396484375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
63,4032,4095,8257536,464,0.35400390625,563,0.429534912109375,256,7.998618741704237,11,575,0.438690185546875,0.783538818359375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
64,4096,4159,8388608,562,0.42877197265625,493,0.376129150390625,256,7.998562815038523,229,598,0.45623779296875,0.804901123046875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
65,4160,4223,8519680,499,0.380706787109375,519,0.395965576171875,256,7.998746882407703,204,592,0.45166015625,0.77667236328125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
66,4224,4287,8650752,516,0.3936767578125,530,0.40435791015625,256,7.998494698647823,232,580,0.4425048828125,0.79803466796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
67,4288,4351,8781824,525,0.400543212890625,606,0.46234130859375,256,7.998528989562079,0,606,0.46234130859375,0.862884521484375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
68,4352,4415,8912896,468,0.3570556640625,547,0.417327880859375,256,7.998452526160356,162,597,0.455474853515625,0.774383544921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
69,4416,4479,9043968,550,0.41961669921875,544,0.4150390625,256,7.998685255306587,93,565,0.431060791015625,0.83465576171875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
70,4480,4543,9175040,480,0.3662109375,566,0.43182373046875,256,7.998612938909067,161,571,0.435638427734375,0.79803466796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
71,4544,4607,9306112,488,0.372314453125,542,0.41351318359375,256,7.998818413707614,130,566,0.43182373046875,0.78582763671875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
72,4608,4671,9437184,538,0.41046142578125,581,0.443267822265625,256,7.998658899234017,39,587,0.447845458984375,0.853729248046875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
73,4672,4735,9568256,526,0.40130615234375,630,0.48065185546875,256,7.998636852371598,0,630,0.48065185546875,0.8819580078125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
74,4736,4799,9699328,508,0.3875732421875,612,0.4669189453125,256,7.998523791988321,0,612,0.4669189453125,0.8544921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
75,4800,4863,9830400,502,0.38299560546875,585,0.446319580078125,256,7.9984650069858585,0,585,0.446319580078125,0.829315185546875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
76,4864,4927,9961472,489,0.373077392578125,561,0.428009033203125,256,7.998475688488711,220,584,0.445556640625,0.80108642578125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
